time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-13 00:00:00+00:00,1.0,1.0,2,2
2022-04-14 00:00:00+00:00,1.0,1.0,4,4
2022-04-15 00:00:00+00:00,1.0,1.0,1,1
2022-04-16 00:00:00+00:00,1.0,1.0,1,1
2022-04-17 00:00:00+00:00,2.0,2.0,3,1
2022-04-18 00:00:00+00:00,1.0,1.0,10,5
2022-04-19 00:00:00+00:00,1.0,1.0,1,1
2022-04-20 00:00:00+00:00,2.0,2.0,5,3
2022-04-21 00:00:00+00:00,1.0,1.0,33,7
2022-04-22 00:00:00+00:00,1.0,1.0,9,3
2022-04-23 00:00:00+00:00,1.0,1.0,2,2
2022-04-24 00:00:00+00:00,1.0,1.0,9,2
2022-04-25 00:00:00+00:00,1.0,1.0,3,3
2022-04-26 00:00:00+00:00,,,3,2
