time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-23 00:00:00+00:00,1,1,26.0,5.0
2022-05-24 00:00:00+00:00,1,1,1.0,1.0
2022-05-25 00:00:00+00:00,1,1,7.0,2.0
2022-05-26 00:00:00+00:00,1,1,,
2022-05-27 00:00:00+00:00,3,3,21.0,3.0
2022-05-28 00:00:00+00:00,1,1,4.0,1.0
2022-05-29 00:00:00+00:00,2,2,,
2022-05-30 00:00:00+00:00,1,1,,
2022-05-31 00:00:00+00:00,2,2,1.0,1.0
2022-06-01 00:00:00+00:00,265,3,2.0,1.0
2022-06-02 00:00:00+00:00,2,2,,
2022-06-03 00:00:00+00:00,4,2,3.0,3.0
2022-06-04 00:00:00+00:00,4,2,1.0,1.0
