time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-15 00:00:00+00:00,2.0,2.0,2.0,2.0
2022-05-16 00:00:00+00:00,1.0,1.0,,
2022-05-17 00:00:00+00:00,1.0,1.0,11.0,5.0
2022-05-18 00:00:00+00:00,1.0,1.0,5.0,3.0
2022-05-19 00:00:00+00:00,2.0,2.0,3.0,2.0
2022-05-20 00:00:00+00:00,1.0,1.0,8.0,5.0
2022-05-21 00:00:00+00:00,2.0,2.0,3.0,1.0
2022-05-22 00:00:00+00:00,2.0,2.0,,
2022-05-23 00:00:00+00:00,1.0,1.0,26.0,5.0
2022-05-24 00:00:00+00:00,1.0,1.0,1.0,1.0
2022-05-25 00:00:00+00:00,1.0,1.0,7.0,2.0
2022-05-26 00:00:00+00:00,1.0,1.0,,
2022-05-27 00:00:00+00:00,3.0,3.0,21.0,3.0
2022-05-28 00:00:00+00:00,,,4.0,1.0
