time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-29 00:00:00+00:00,2,2,,
2022-05-30 00:00:00+00:00,1,1,,
2022-05-31 00:00:00+00:00,2,2,1.0,1.0
2022-06-01 00:00:00+00:00,265,3,2.0,1.0
2022-06-02 00:00:00+00:00,2,2,,
2022-06-03 00:00:00+00:00,4,2,3.0,3.0
2022-06-04 00:00:00+00:00,4,2,1.0,1.0
2022-06-05 00:00:00+00:00,4,2,,
2022-06-06 00:00:00+00:00,4,2,2.0,2.0
2022-06-07 00:00:00+00:00,1,1,,
2022-06-08 00:00:00+00:00,1,1,3.0,3.0
2022-06-09 00:00:00+00:00,2,2,6.0,3.0
2022-06-10 00:00:00+00:00,1,1,5.0,3.0
