url_path,views_total,views_unique
/GeekVisit/uproot,24,19
/GeekVisit/uproot/releases/tag/v2021-10-001-beta,2,2
/GeekVisit/uproot/blob/master/test/test-data/lease-list-infile.openwrt,2,1
/GeekVisit/uproot/commit/1253129846c9d7a80281d2c4d8a43302437d23a0,2,1
/GeekVisit/uproot/tree/master/test,2,1
/GeekVisit/uproot/tree/master/test/test-data,2,1
/GeekVisit/uproot/blob/master/test/test-data/lease-list-bad-infile.openwrt,1,1
/GeekVisit/uproot/releases,1,1
/GeekVisit/uproot/tree/master/bin,1,1
